[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE, Tot Res Exp , Ind Res Exp , Fed Res Exp , Gross Lic Inc , Leg Fees , Lic Inc Equ , Lic Inc Other , Lic Inc Pd Oth , Lic Inc Run Roy , Reimb Leg Fee , Iss US Pat , Tot Pat App Fld , Util Pat App Fld , New Pat App Fld , For. Pat App Fld , New Prod , Act Lic , Cum Op St-Ups , Excl Lic/Opt. , Inv Dis Rec , Lic $1mm+ , Lic Gen Inc , Lic Gen Run Roy , Lic Iss , Lic w Equ , NEWCOMPSUPP , Non-Excl Lic/Opt , Opt Iss , Pro Pat App Fld , St-Ups Cld , St-Ups Formed , St-Ups in Home St , St-Ups w Equ , Tot Discl Lic , Tot Lic Lg Co , Tot Lic Sm Co , Tot Lic St-Ups , Tot Lic/Opt Exe , Lic FTEs , Oth FTEs , AirQualityIndex , Airports , Bike Score , Crime Rate , Transit Score , Median Age , Total Population , Female Population , Male Population , Foreign-born , Number of Veterans ,WalkScore
72003,Oregon State University,No,Corvallis,OR,5U,245317000,9792000,153017000,9263191,1055409, -   ,32376,709691,9230815,589576,14.8,51.8,2.3,25.7,0.3,8,281.5,24.8,9.2,69,1,182,113.3,69,2.5,6.2,59.8,6.2,21.7,1.2,3,3.2,2.5,40.2,5.7,64.2,5.3,75.2,5,4,40,1,85,27.4,29,35.4,164543,83704,80839,19668,9685,47
72010,Utah State University,No,Logan,UT,5U,175353000,4404000,120369000,1161046,238686, -   ,72839, -   ,1088207, -   ,15.5,59,3.2,25.8, -   ,1.4,14,37.4,5.5,77, -   ,7.8,23.4,15.3,2.7, -   ,9.8, -   ,25.3,0.3,4.2,4.2,2.4,9.6,2.8,10.3,2.6,15.3,2,2,41,1,51,22.4,,,,,,,,40
72031,Pennsylvania State University,Yes,State College,PA,5U,801348000,79128000,510057000,1957775,1814408, -   ,1352822,90757,604953,1236574,43.7,145,30.8,104.7, -   ,3.4,169.5,52.2,12.3,138.2,0.3,85,46,22.2,4.2,5.7,9.8,5.2,70.8,2.5,7,5.3,2.2,36.8,9.3,7.7,10.3,27.3,5.5,7.5,39,1,78,24.3,41,,,,,,,68
72060,Portland State University,No,Portland,OR,5U,62531665,669615,40320367,610987,203657, -   ,586232, -   ,24755,83526,4.8,16.2,2,11.2,2.3,1.2,48.5,5.7,2.3,19.2, -   ,31.8,1.7,24.7,0.8,0.5,22.3,1.5,7.5,0.4,1,1.2,0.6,12.7,4,20.5,1.7,26.2,2,2,42,1,83,57.7,49,36.7,632187,318671,313516,86041,29940,
72068,Princeton University,No,Princeton,NJ,5U,194185000,8641545,158721707,142231000,1452741, -   ,666000,1617106,141565000,962741,30.4,157.2,38.2,138.6,5.6,1,31.8,15.5,4.4,104,2,39.8,14.4,9.4,0.2,3,5,5,107.6,0.2,2.6,0.6,0.4,26,2.4,7.6,4.4,14.4,3,3,47,3,88,11.1,,33.3,84231,41650,42581,20428,2604,
72075,Purdue Research Foundation,No,West Lafayette,IN,5U,576435000,42498000,224196000,6377899,   ,1329133,1737168,   ,3311598,   ,75.2,397.7,4.8,164.3, -   ,3.7,405.8,71.2,30.3,299.3,1,168.3,91.2,76,1.2,26,45.7,20.3,153.8,4.7,13.3,10.7,1.2,157.7,27.8,46.3,7.8,96.3,6,10,42,1,63,18.2,44,33.5,71170,36857,34313,5697,5045,51
72104,Rice University,No,Houston,TX,5U,121502799,11031346,76825165,2512799,2617567, -   ,2507810,3665,4989,1132355,52,119.8,11,104.2,20.3,1.5,56,19.3,7,104.3,0.3,18.3,6.7,9.3,2, -   ,2.3,3,72.8,2,2.5,2,1,32.5,3.2,3.8,5.3,12.3,6,7,44,3,49,58,36,32.6,2298628,1148942,1149686,696210,71898,
72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,99178000,4625500,44538760,8443889,664829, -   ,8066491,135783,377398,438015,10.3,55,3.8,40.8,4.5,1,191.3,11.8,2.3,41,0.2,100.2,46.3,16.8,0.7, -   ,14.5,2.2,24.3, -   ,1.7,0.8,0.7,10.5,8.3,8.5,2.2,19,2.3,6.8,60,1,43,26.9,37,34.5,1394907,701081,693826,373842,92489,99
72140,San Diego State University,No,San Diego,CA,5U,56630400,316864,46870141,584536,182086,   ,   ,   ,   ,44777,2.8,24.6,3,24.7,3.7,5,100.3,22.3,6.8,35.7, -   ,37.5,37.5,8.5,1.7,1.3,2,2.5,21,0.8,2.2,2.4,2.5,12.8,1.5,5.8,3.8,11,2,1.3,60,1,43,26.9,37,34.5,1394907,701081,693826,373842,92489,99
72222,Stanford University,Yes,Stanford,CA,5U,946378322,88135818,692367999,95110075,9580062,3183799,13222508,728689,78703768,3777870,199.8,597.5,13.3,299.7,5.5,21.5,1551.8,,33,490.2,5.2,630.8,158.8,92.7,15.7, -   ,59.7,22.5,269.3,,20,18.3,16.7,77,13,27,5,115.2,22,20,52,3,78,11.9,40,33.5,80438,37945,42493,31857,1376,
