ID_renamed,Act Lic,AirQualityIndex,Airports,Bike Score,Crime Rate,Cum Op St-Ups,Excl Lic/Opt.,Female Population,For. Pat App Fld,Foreign-born,Inv Dis Rec,Iss US Pat,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Iss,Lic w Equ,Male Population,Median Age,NEWCOMPSUPP,New Pat App Fld,New Prod,Non-Excl Lic/Opt,Number of Veterans,Opt Iss,Pro Pat App Fld,St-Ups Cld,St-Ups Formed,St-Ups in Home St,St-Ups w Equ,Tot Discl Lic,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Lic/Opt Exe,Tot Pat App Fld,Total Population,Transit Score,Util Pat App Fld,[ID],City,Fed Res Exp,Gross Lic Inc,INSTITUTION,INSTTYPE,Ind Res Exp,Leg Fees,Lic FTEs,Lic Inc Equ,Lic Inc Other,Lic Inc Pd Oth,Lic Inc Run Roy,MEDSCHL,Oth FTEs,Reimb Leg Fee,STATE,Tot Res Exp
92629,60.833333333333336,35,1,57,23.98,16.833333333333332,3.1666666666666665,,0.16666666666666666,,104,17.5,0.16666666666666666,44.666666666666664,8,6.333333333333333,0.3333333333333333,,,0,29.5,4,3.1666666666666665,,3.3333333333333335,27.666666666666668,1.6666666666666667,3.1666666666666665,2.6666666666666665,0.16666666666666666,13,4,1.8333333333333333,3.8333333333333335,9.666666666666666,58.833333333333336,,,1.6666666666666667,92629,Clemson,58457288,394206,Clemson University,5U,6069562,378429,3.5,0,192875,5335,201331,No,4.5,103914,SC,73307908
92633,,45,3,69,28.290000000000003,80.66666666666667,20.333333333333332,4468707,,3212500,350.1666666666667,91,7.333333333333333,195.83333333333334,116.66666666666667,72.83333333333333,10.333333333333334,4081698,36,,227.33333333333334,,52.5,156961,15.833333333333334,,7.333333333333333,16.833333333333332,6.666666666666667,7.333333333333333,138.66666666666666,32.4,39.2,16.5,88.66666666666667,370.1666666666667,8550405,89,,92633,New York,603220628,195170398,Columbia University,5U, ,12498378,14,13961670,1788152,66070967,179420576,Yes,28,2943681,NY,729001367
92651,69.5,31,3,56,17.44,15.833333333333334,8.333333333333334,125552,10.333333333333334,170148,83.5,9.2,0.8333333333333334,40.6,24.5,11.833333333333334,3,111530,43,0,59.833333333333336,0.6,3.5,1844,4.333333333333333,23.333333333333332,0.16666666666666666,3.8333333333333335,3.3333333333333335,5.6,20.5,1.5,8.8,7,16.166666666666668,57.166666666666664,237082,38,26.166666666666668,92651,Coral Gables,224509000,6719027,University of Miami,5U,23603000,807855,3,0,4154585,1006566,2564442,Yes,1,745395,FL,309080000
92669,53.25,37,1,61,51.28,2.3333333333333335,2.25,90114,4.75,53532,58,11.75,0.5,14.75,8,7.25,0.5,89090,29.9,0,73.5,1,5,4933,2,40.5,0,1.3333333333333333,1,0.3333333333333333,6,0.75,7,1.5,9.25,70.25,179204,47,25.25,92669,Providence,149044309,1331687,Brown University,5U,3066012,1093365,4,0,267050,0,1064637,Yes,4,472862,RI,152110321
92675,168.33333333333334,41,1,66,30.03,41.8,8,37138,0,9202,103.66666666666667,27.833333333333332,1.5,66.33333333333333,36,18.833333333333332,2,37089,25.5,84.33333333333333,38.5,2.4,10.833333333333334,2047,9,37.5,0.5,5.5,5.166666666666667,1.1666666666666667,49.333333333333336,8.5,10,9.333333333333334,27.833333333333332,79.5,74227,,1,92675,Iowa City,249609608,1499681,University of Iowa Research Foundation,5U,21314498,2386003,5,0,1078050,23908,421631,Yes,6,1181634,IA,421686010
92679,84.16666666666667,44,1,61,34.95,24,5,48324,4.833333333333333,8701,75.33333333333333,21,0.8333333333333334,35.666666666666664,20.5,17.5,1.5,45592,27.399999999999995,0.8333333333333334,50.166666666666664,1,12.5,2986,1.6666666666666667,41,0.5,2,1.8333333333333333,2,16.333333333333332,9.5,7.666666666666667,2,19.166666666666668,86.33333333333333,93916,35,4.333333333333333,92679,Lawrence,179544774,9832208,University of Kansas,5U,14227473,792879,5,0,461567,6299,9370641,Yes,4,173086,KS,238737340
92705,380.1666666666667,,,,,66,16,,0.3333333333333333,,298.5,68.5,0,157,70.16666666666667,29.333333333333332,5.166666666666667,,,69,184.5,3.5,13.333333333333334,,12,183.33333333333334,1,9.166666666666666,7.666666666666667,4.833333333333333,63.833333333333336,11.5,17.333333333333332,11.333333333333334,41.333333333333336,330.3333333333333,,,0.6666666666666666,92705,,639505504,2243403,University System of Maryland,5U,96261389,2621156,16,0,1284283,189134,959120,Yes,16,854192,MD,972710170
92718,54.8,32,1,81,33.73,14.833333333333334,3.5,,2.6666666666666665,,38.833333333333336,10,0,17,10.666666666666666,6.333333333333333,1.5,,,0,20,1,2.8333333333333335,,0.5,13.5,0,2.5,1.5,5.5,7,1.6666666666666667,2.5,2.6666666666666665,6.833333333333333,30,,39,3.3333333333333335,92718,Burlington, ,630000,University of Vermont,5U, ,417000,1.5,0,157000,19000,473000,Yes,1.5,99000,VT, 
92722,66.33333333333333,,,,,30.666666666666668,3.3333333333333335,,0,,61.833333333333336,17.833333333333332,0.16666666666666666,25.166666666666668,16.666666666666668,6.833333333333333,1.1666666666666667,,,0,28,0.25,3.5,,1.6666666666666667,26.166666666666668,1.1666666666666667,2,1.6666666666666667,0.8333333333333334,14.166666666666666,2.6666666666666665,2.6666666666666665,3.1666666666666665,8.5,50.666666666666664,,,1.8333333333333333,92722,,124111438,1594055,University of Oklahoma All Campuses,5U,9145060,860296,8,0,997621,23911,596434,Yes,1,448895,OK,197909222
92729,51,31,1,33,74.26,6,2,,1,,47,9,0,28,16,8,0,,,0,33,,6,,2,16,1,0,0,0,7,7,1,2,10,31,,,10,92729,Augusta, ,416712,Augusta University,5U, ,394537,3,319065,49000,9988,48647,Yes,2,203971,GA,67736000
