YEAR,[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE,Tot Res Exp,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,St-Ups w Equ,Lic FTEs,Oth FTEs,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
2011,71465,Emory University,Yes,Atlanta,GA,5U,496433864,48,387991046,31155869,3821321,2524507,215,22,4,13,30,5,49,22,44,4,0,329480,1,100,66,1260456,431388,15899109,14309173,237,133,35,88,10,148,16,17,24,1,3,6,4,8,9,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
2010,71465,Emory University,Yes,Atlanta,GA,5U,450204168,36,362199172,25311483,3468684,1972860,251,15,4,14,18,4,33,17,32,4,0,723500,1,72,54,216245,54824,14383542,13443797,212,58,0,58,0,105,17,10,25,0,3,4,2,7,9,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
2010,71496,Florida Atlantic University,No,Boca Raton,FL,5U,41605782,6,25775806,837815,206570,31740,10,3,0,2,1,3,7,2,5,1,0,0,0,4,1,49250,7500,145476,96226,25,15,1,7,7,14,4,,2,0,0,1,0,2,1,,56,31,3,29.56,47.3,44760,48466,93226,4367,21117
2015,71501,Florida State University,Yes,Tallahassee,FL,5U,221119645,16,152654975,1703997,1200000, ,,11,,3,3,10,35,2,13,3,, ,,,, , ,497282, ,76,42,0,42,0,102,27,,,,,8,,5,2.5,30,45,26,1,59.94,26.2,89390,100504,189894,9575,16720
2014,71501,Florida State University,Yes,Tallahassee,FL,5U,201375381,20,162393335,1741613,1254386,52117,110,6,0,4,8,8,28,2,8,12,,0,0,27,24,43832, ,1064265,1020433,61,98,13,44,41,91,39,1,31,0,8,2,0,5,2.75,30,45,26,1,59.94,26.2,89390,100504,189894,9575,16720
2013,71501,Florida State University,Yes,Tallahassee,FL,5U,192536081,15,159142061,1302164,993955,23221,90,5,0,4,8,3,27,4,9,6,3,0,0,24,22,17345, ,1036222,1018877,58,48,0,48,0,126,43,4,23,0,2,3,0,4,3.5,30,45,26,1,59.94,26.2,89390,100504,189894,9575,16720
2012,71501,Florida State University,Yes,Tallahassee,FL,5U,198901113,13,152153750,2016886,765345,49075,80,,0,4,7,2,13,,9,4,,0,0,20,18,21300, ,1133065,1111765,74,46,0,46,0,90,27,4,20,0,2,2,0,5,4.5,30,45,26,1,59.94,26.2,89390,100504,189894,9575,16720
2011,71501,Florida State University,Yes,Tallahassee,FL,5U,206964109,10,154714048,1893923,637822,18663,69,6,0,2,4,4,11,1,7,3,2,0,1,15,14,11510,2499,1467981,1456471,64,48,0,47,1,79,36,4,18,0,4,4,0,4,3.5,30,45,26,1,59.94,26.2,89390,100504,189894,9575,16720
2010,71501,Florida State University,Yes,Tallahassee,FL,5U,217441956,6,143835261,957112,673221,84834,65,4,0,1,3,2,6,0,4,2,3,0,1,19,15,41867,0,1314917,1273050,45,34,0,33,1,73,21,3,15,1,2,2,0,4,5,30,45,26,1,59.94,26.2,89390,100504,189894,9575,16720
2015,71510,Fred Hutchinson Cancer Research Center,No,Seattle,WA,4HRI,337864102,11,187132418,13649638,1956045,1321623,211,2,0,4,4,3,17,5,7,4,0,6245638,2,154,117,699332, ,18056932,11111962,38,28,0,27,1,61,8,,2,1,2,3,1,3,4,60,71,40,1,47.97,35.5,345659,338784,684443,29364,119840
